Name,periods,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,buses,NPWB,Value
line_opt,,52.0,Poppy,,,,,,1.0
line_opt,,52.0,Oxlip,,,,,,0.0
line_opt,,52.0,Daisy,,,,,,0.0
line_opt,,52.0,Tulip,,,,,,0.0
line_opt,,53.0,Poppy,,,,,,1.0
line_opt,,53.0,Oxlip,,,,,,0.0
line_opt,,53.0,Daisy,,,,,,0.0
line_opt,,53.0,Tulip,,,,,,0.0
line_opt,,54.0,Poppy,,,,,,0.0
line_opt,,54.0,Oxlip,,,,,,0.0
line_opt,,54.0,Daisy,,,,,,0.0
line_opt,,54.0,Tulip,,,,,,0.0
line_opt,,55.0,Poppy,,,,,,0.0
line_opt,,55.0,Oxlip,,,,,,0.0
line_opt,,55.0,Daisy,,,,,,0.0
line_opt,,55.0,Tulip,,,,,,0.0
line_opt,,56.0,Poppy,,,,,,0.0
line_opt,,56.0,Oxlip,,,,,,0.0
line_opt,,56.0,Daisy,,,,,,0.0
line_opt,,56.0,Tulip,,,,,,0.0
line_opt,,57.0,Poppy,,,,,,0.0
line_opt,,57.0,Oxlip,,,,,,0.0
line_opt,,57.0,Daisy,,,,,,0.0
line_opt,,57.0,Tulip,,,,,,0.0
line_opt,,58.0,Poppy,,,,,,0.0
line_opt,,58.0,Oxlip,,,,,,0.0
line_opt,,58.0,Daisy,,,,,,0.0
line_opt,,58.0,Tulip,,,,,,0.0
line_opt,,59.0,Poppy,,,,,,0.0
line_opt,,59.0,Oxlip,,,,,,0.0
line_opt,,59.0,Daisy,,,,,,0.0
line_opt,,59.0,Tulip,,,,,,0.0
line_act_plus,,0.0,,,,,,,0.0
line_act_plus,,1.0,,,,,,,0.0
line_act_plus,,2.0,,,,,,,0.0
line_act_plus,,3.0,,,,,,,0.0
line_act_plus,,4.0,,,,,,,0.0
line_act_plus,,5.0,,,,,,,0.0
line_act_plus,,6.0,,,,,,,0.0
line_act_plus,,7.0,,,,,,,1.0
line_act_plus,,8.0,,,,,,,1.0
line_act_plus,,9.0,,,,,,,0.0
line_act_plus,,10.0,,,,,,,0.0
line_act_plus,,11.0,,,,,,,0.0
line_act_plus,,12.0,,,,,,,0.0
line_act_plus,,13.0,,,,,,,0.0
line_act_plus,,14.0,,,,,,,0.0
line_act_plus,,15.0,,,,,,,0.0
line_act_plus,,16.0,,,,,,,0.0
line_act_plus,,17.0,,,,,,,1.0
line_act_plus,,18.0,,,,,,,1.0
line_act_plus,,19.0,,,,,,,0.0
line_act_plus,,20.0,,,,,,,1.0
line_act_plus,,21.0,,,,,,,0.0
line_act_plus,,22.0,,,,,,,0.0
line_act_plus,,23.0,,,,,,,0.0
line_act_plus,,24.0,,,,,,,0.0
line_act_plus,,25.0,,,,,,,0.0
line_act_plus,,26.0,,,,,,,0.0
line_act_plus,,27.0,,,,,,,0.0
line_act_plus,,28.0,,,,,,,0.0
line_act_plus,,29.0,,,,,,,0.0
line_act_plus,,30.0,,,,,,,0.0
line_act_plus,,31.0,,,,,,,0.0
line_act_plus,,32.0,,,,,,,0.0
line_act_plus,,33.0,,,,,,,0.0
line_act_plus,,34.0,,,,,,,1.0
line_act_plus,,35.0,,,,,,,0.0
line_act_plus,,36.0,,,,,,,1.0
line_act_plus,,37.0,,,,,,,1.0
line_act_plus,,38.0,,,,,,,0.0
line_act_plus,,39.0,,,,,,,0.0
line_act_plus,,40.0,,,,,,,0.0
line_act_plus,,41.0,,,,,,,0.0
line_act_plus,,42.0,,,,,,,0.0
line_act_plus,,43.0,,,,,,,0.0
line_act_plus,,44.0,,,,,,,0.0
line_act_plus,,45.0,,,,,,,0.0
line_act_plus,,46.0,,,,,,,0.0
line_act_plus,,47.0,,,,,,,0.0
line_act_plus,,48.0,,,,,,,0.0
line_act_plus,,49.0,,,,,,,0.0
line_act_plus,,50.0,,,,,,,0.0
line_act_plus,,51.0,,,,,,,0.0
line_act_plus,,52.0,,,,,,,1.0
line_act_plus,,53.0,,,,,,,0.0
line_act_plus,,54.0,,,,,,,0.0
line_act_plus,,55.0,,,,,,,0.0
line_act_plus,,56.0,,,,,,,0.0
line_act_plus,,57.0,,,,,,,0.0
line_act_plus,,58.0,,,,,,,0.0
line_act_plus,,59.0,,,,,,,0.0
line_act_minus,,0.0,,,,,,,1.0
line_act_minus,,1.0,,,,,,,0.0
line_act_minus,,2.0,,,,,,,0.0
line_act_minus,,3.0,,,,,,,0.0
line_act_minus,,4.0,,,,,,,0.0
line_act_minus,,5.0,,,,,,,0.0
line_act_minus,,6.0,,,,,,,0.0
line_act_minus,,7.0,,,,,,,0.0
line_act_minus,,8.0,,,,,,,0.0
line_act_minus,,9.0,,,,,,,0.0
line_act_minus,,10.0,,,,,,,0.0
line_act_minus,,11.0,,,,,,,0.0
line_act_minus,,12.0,,,,,,,0.0
line_act_minus,,13.0,,,,,,,0.0
line_act_minus,,14.0,,,,,,,0.0
line_act_minus,,15.0,,,,,,,0.0
line_act_minus,,16.0,,,,,,,0.0
line_act_minus,,17.0,,,,,,,0.0
line_act_minus,,18.0,,,,,,,0.0
line_act_minus,,19.0,,,,,,,0.0
line_act_minus,,20.0,,,,,,,0.0
line_act_minus,,21.0,,,,,,,0.0
line_act_minus,,22.0,,,,,,,0.0
line_act_minus,,23.0,,,,,,,0.0
line_act_minus,,24.0,,,,,,,0.0
