Variable,Index1,Index2,Index3,Value
C_cond,,,,46122.50545693518
C_subs,,,,34125.27937712017
C_losses,,,1,0.012322959447936729
line_opt,,0,Poppy,1.0
line_opt,,0,Oxlip,0.0
line_opt,,0,Daisy,0.0
line_opt,,0,Tulip,0.0
line_opt,,1,Poppy,0.0
line_opt,,1,Oxlip,0.0
line_opt,,1,Daisy,0.0
line_opt,,1,Tulip,0.0
line_opt,,2,Poppy,0.0
line_opt,,2,Oxlip,0.0
line_opt,,2,Daisy,0.0
line_opt,,2,Tulip,0.0
line_opt,,3,Poppy,0.0
line_opt,,3,Oxlip,0.0
line_opt,,3,Daisy,0.0
line_opt,,3,Tulip,0.0
line_opt,,4,Poppy,0.0
line_opt,,4,Oxlip,0.0
line_opt,,4,Daisy,0.0
line_opt,,4,Tulip,0.0
line_opt,,5,Poppy,0.0
line_opt,,5,Oxlip,0.0
line_opt,,5,Daisy,0.0
line_opt,,5,Tulip,0.0
line_opt,,6,Poppy,0.0
line_opt,,6,Oxlip,0.0
line_opt,,6,Daisy,0.0
line_opt,,6,Tulip,0.0
line_opt,,7,Poppy,1.0
line_opt,,7,Oxlip,0.0
line_opt,,7,Daisy,0.0
line_opt,,7,Tulip,0.0
line_opt,,8,Poppy,1.0
line_opt,,8,Oxlip,0.0
line_opt,,8,Daisy,0.0
line_opt,,8,Tulip,0.0
line_opt,,9,Poppy,0.0
line_opt,,9,Oxlip,0.0
line_opt,,9,Daisy,0.0
line_opt,,9,Tulip,0.0
line_opt,,10,Poppy,0.0
line_opt,,10,Oxlip,0.0
line_opt,,10,Daisy,0.0
line_opt,,10,Tulip,0.0
line_opt,,11,Poppy,0.0
line_opt,,11,Oxlip,0.0
line_opt,,11,Daisy,0.0
line_opt,,11,Tulip,0.0
line_opt,,12,Poppy,0.0
line_opt,,12,Oxlip,0.0
line_opt,,12,Daisy,0.0
line_opt,,12,Tulip,0.0
line_opt,,13,Poppy,0.0
line_opt,,13,Oxlip,0.0
line_opt,,13,Daisy,0.0
line_opt,,13,Tulip,0.0
line_opt,,14,Poppy,0.0
line_opt,,14,Oxlip,0.0
line_opt,,14,Daisy,0.0
line_opt,,14,Tulip,0.0
line_opt,,15,Poppy,0.0
line_opt,,15,Oxlip,0.0
line_opt,,15,Daisy,0.0
line_opt,,15,Tulip,0.0
line_opt,,16,Poppy,0.0
line_opt,,16,Oxlip,0.0
line_opt,,16,Daisy,0.0
line_opt,,16,Tulip,0.0
line_opt,,17,Poppy,0.9999857519125581
line_opt,,17,Oxlip,0.0
line_opt,,17,Daisy,0.0
line_opt,,17,Tulip,1.4248087441923246e-05
line_opt,,18,Poppy,0.0
line_opt,,18,Oxlip,0.0
line_opt,,18,Daisy,0.0
line_opt,,18,Tulip,0.0
line_opt,,19,Poppy,1.0
line_opt,,19,Oxlip,0.0
line_opt,,19,Daisy,0.0
line_opt,,19,Tulip,0.0
line_opt,,20,Poppy,1.0
line_opt,,20,Oxlip,0.0
line_opt,,20,Daisy,0.0
line_opt,,20,Tulip,0.0
line_opt,,21,Poppy,0.0
line_opt,,21,Oxlip,0.0
line_opt,,21,Daisy,0.0
line_opt,,21,Tulip,0.0
line_opt,,22,Poppy,0.0
line_opt,,22,Oxlip,0.0
line_opt,,22,Daisy,0.0
line_opt,,22,Tulip,0.0
line_opt,,23,Poppy,0.0
line_opt,,23,Oxlip,0.0
line_opt,,23,Daisy,0.0
line_opt,,23,Tulip,0.0
line_opt,,24,Poppy,0.0
line_opt,,24,Oxlip,0.0
line_opt,,24,Daisy,0.0
line_opt,,24,Tulip,0.0
line_opt,,25,Poppy,0.0
line_opt,,25,Oxlip,0.0
line_opt,,25,Daisy,0.0
line_opt,,25,Tulip,0.0
line_opt,,26,Poppy,0.0
line_opt,,26,Oxlip,0.0
line_opt,,26,Daisy,0.0
line_opt,,26,Tulip,0.0
line_opt,,27,Poppy,0.0
line_opt,,27,Oxlip,0.0
line_opt,,27,Daisy,0.0
line_opt,,27,Tulip,0.0
line_opt,,28,Poppy,0.0
line_opt,,28,Oxlip,0.0
line_opt,,28,Daisy,0.0
line_opt,,28,Tulip,0.0
line_opt,,29,Poppy,0.0
line_opt,,29,Oxlip,0.0
line_opt,,29,Daisy,0.0
line_opt,,29,Tulip,0.0
line_opt,,30,Poppy,0.0
line_opt,,30,Oxlip,0.0
line_opt,,30,Daisy,0.0
line_opt,,30,Tulip,0.0
line_opt,,31,Poppy,0.0
line_opt,,31,Oxlip,0.0
line_opt,,31,Daisy,0.0
line_opt,,31,Tulip,0.0
line_opt,,32,Poppy,0.0
line_opt,,32,Oxlip,0.0
line_opt,,32,Daisy,0.0
line_opt,,32,Tulip,0.0
line_opt,,33,Poppy,-0.00015838305888576877
line_opt,,33,Oxlip,0.0
line_opt,,33,Daisy,0.0
line_opt,,33,Tulip,0.00015838306917910773
line_opt,,34,Poppy,0.0
line_opt,,34,Oxlip,1.0
line_opt,,34,Daisy,0.0
line_opt,,34,Tulip,0.0
line_opt,,35,Poppy,0.0
line_opt,,35,Oxlip,0.0
line_opt,,35,Daisy,0.0
line_opt,,35,Tulip,0.0
line_opt,,36,Poppy,1.0
line_opt,,36,Oxlip,0.0
line_opt,,36,Daisy,0.0
line_opt,,36,Tulip,0.0
line_opt,,37,Poppy,1.0
line_opt,,37,Oxlip,0.0
line_opt,,37,Daisy,0.0
line_opt,,37,Tulip,0.0
line_opt,,38,Poppy,0.9999623455201829
line_opt,,38,Oxlip,0.0
line_opt,,38,Daisy,0.0
line_opt,,38,Tulip,3.7654509157600205e-05
line_opt,,39,Poppy,0.0
line_opt,,39,Oxlip,0.0
line_opt,,39,Daisy,0.0
line_opt,,39,Tulip,0.0
line_opt,,40,Poppy,1.0
line_opt,,40,Oxlip,0.0
line_opt,,40,Daisy,0.0
line_opt,,40,Tulip,0.0
line_opt,,41,Poppy,0.0
line_opt,,41,Oxlip,0.0
line_opt,,41,Daisy,0.0
line_opt,,41,Tulip,0.0
line_opt,,42,Poppy,0.0
line_opt,,42,Oxlip,0.0
line_opt,,42,Daisy,0.0
line_opt,,42,Tulip,0.0
line_opt,,43,Poppy,1.0
line_opt,,43,Oxlip,0.0
line_opt,,43,Daisy,0.0
line_opt,,43,Tulip,0.0
line_opt,,44,Poppy,1.0
line_opt,,44,Oxlip,0.0
line_opt,,44,Daisy,0.0
line_opt,,44,Tulip,0.0
line_opt,,45,Poppy,0.0
line_opt,,45,Oxlip,0.0
line_opt,,45,Daisy,0.0
line_opt,,45,Tulip,0.0
line_opt,,46,Poppy,1.0
line_opt,,46,Oxlip,0.0
line_opt,,46,Daisy,0.0
line_opt,,46,Tulip,0.0
line_opt,,47,Poppy,1.0
line_opt,,47,Oxlip,0.0
line_opt,,47,Daisy,0.0
line_opt,,47,Tulip,0.0
line_opt,,48,Poppy,0.0
line_opt,,48,Oxlip,0.0
line_opt,,48,Daisy,0.0
line_opt,,48,Tulip,0.0
line_opt,,49,Poppy,0.0
line_opt,,49,Oxlip,0.0
line_opt,,49,Daisy,0.0
line_opt,,49,Tulip,0.0
line_opt,,50,Poppy,0.0
line_opt,,50,Oxlip,0.0
line_opt,,50,Daisy,0.0
line_opt,,50,Tulip,0.0
line_opt,,51,Poppy,0.0
line_opt,,51,Oxlip,0.0
line_opt,,51,Daisy,0.0
line_opt,,51,Tulip,0.0
line_opt,,52,Poppy,1.0
line_opt,,52,Oxlip,0.0
line_opt,,52,Daisy,0.0
line_opt,,52,Tulip,0.0
line_opt,,53,Poppy,1.0
line_opt,,53,Oxlip,0.0
line_opt,,53,Daisy,0.0
line_opt,,53,Tulip,0.0
line_opt,,54,Poppy,0.0
line_opt,,54,Oxlip,0.0
line_opt,,54,Daisy,0.0
line_opt,,54,Tulip,0.0
line_opt,,55,Poppy,0.0
line_opt,,55,Oxlip,0.0
line_opt,,55,Daisy,0.0
