Name,periods,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,buses,Value
line_opt,,24.0,Poppy,,,,,0.0
line_opt,,24.0,Oxlip,,,,,0.0
line_opt,,24.0,Daisy,,,,,0.0
line_opt,,24.0,Tulip,,,,,0.0
line_opt,,25.0,Poppy,,,,,0.0
line_opt,,25.0,Oxlip,,,,,0.0
line_opt,,25.0,Daisy,,,,,0.0
line_opt,,25.0,Tulip,,,,,0.0
line_opt,,26.0,Poppy,,,,,0.0
line_opt,,26.0,Oxlip,,,,,0.0
line_opt,,26.0,Daisy,,,,,0.0
line_opt,,26.0,Tulip,,,,,0.0
line_opt,,27.0,Poppy,,,,,0.0
line_opt,,27.0,Oxlip,,,,,0.0
line_opt,,27.0,Daisy,,,,,0.0
line_opt,,27.0,Tulip,,,,,0.0
line_opt,,28.0,Poppy,,,,,0.0
line_opt,,28.0,Oxlip,,,,,0.0
line_opt,,28.0,Daisy,,,,,0.0
line_opt,,28.0,Tulip,,,,,0.0
line_opt,,29.0,Poppy,,,,,0.0
line_opt,,29.0,Oxlip,,,,,0.0
line_opt,,29.0,Daisy,,,,,0.0
line_opt,,29.0,Tulip,,,,,0.0
line_opt,,30.0,Poppy,,,,,0.0
line_opt,,30.0,Oxlip,,,,,0.0
line_opt,,30.0,Daisy,,,,,0.0
line_opt,,30.0,Tulip,,,,,0.0
line_opt,,31.0,Poppy,,,,,0.0
line_opt,,31.0,Oxlip,,,,,0.0
line_opt,,31.0,Daisy,,,,,0.0
line_opt,,31.0,Tulip,,,,,0.0
line_opt,,32.0,Poppy,,,,,0.0
line_opt,,32.0,Oxlip,,,,,0.0
line_opt,,32.0,Daisy,,,,,0.0
line_opt,,32.0,Tulip,,,,,0.0
line_opt,,33.0,Poppy,,,,,0.0
line_opt,,33.0,Oxlip,,,,,0.0
line_opt,,33.0,Daisy,,,,,0.0
line_opt,,33.0,Tulip,,,,,0.0
line_opt,,34.0,Poppy,,,,,1.0
line_opt,,34.0,Oxlip,,,,,0.0
line_opt,,34.0,Daisy,,,,,0.0
line_opt,,34.0,Tulip,,,,,0.0
line_opt,,35.0,Poppy,,,,,0.0
line_opt,,35.0,Oxlip,,,,,0.0
line_opt,,35.0,Daisy,,,,,0.0
line_opt,,35.0,Tulip,,,,,0.0
line_opt,,36.0,Poppy,,,,,1.0
line_opt,,36.0,Oxlip,,,,,0.0
line_opt,,36.0,Daisy,,,,,0.0
line_opt,,36.0,Tulip,,,,,0.0
line_opt,,37.0,Poppy,,,,,1.0
line_opt,,37.0,Oxlip,,,,,0.0
line_opt,,37.0,Daisy,,,,,0.0
line_opt,,37.0,Tulip,,,,,0.0
line_opt,,38.0,Poppy,,,,,1.0
line_opt,,38.0,Oxlip,,,,,0.0
line_opt,,38.0,Daisy,,,,,0.0
line_opt,,38.0,Tulip,,,,,0.0
line_opt,,39.0,Poppy,,,,,0.0
line_opt,,39.0,Oxlip,,,,,0.0
line_opt,,39.0,Daisy,,,,,0.0
line_opt,,39.0,Tulip,,,,,0.0
line_opt,,40.0,Poppy,,,,,1.0
line_opt,,40.0,Oxlip,,,,,0.0
line_opt,,40.0,Daisy,,,,,0.0
line_opt,,40.0,Tulip,,,,,0.0
line_opt,,41.0,Poppy,,,,,0.0
line_opt,,41.0,Oxlip,,,,,0.0
line_opt,,41.0,Daisy,,,,,0.0
line_opt,,41.0,Tulip,,,,,0.0
line_opt,,42.0,Poppy,,,,,0.0
line_opt,,42.0,Oxlip,,,,,0.0
line_opt,,42.0,Daisy,,,,,0.0
line_opt,,42.0,Tulip,,,,,0.0
line_opt,,43.0,Poppy,,,,,1.0
line_opt,,43.0,Oxlip,,,,,0.0
line_opt,,43.0,Daisy,,,,,0.0
line_opt,,43.0,Tulip,,,,,0.0
line_opt,,44.0,Poppy,,,,,1.0
line_opt,,44.0,Oxlip,,,,,0.0
line_opt,,44.0,Daisy,,,,,0.0
line_opt,,44.0,Tulip,,,,,0.0
line_opt,,45.0,Poppy,,,,,0.0
line_opt,,45.0,Oxlip,,,,,0.0
line_opt,,45.0,Daisy,,,,,0.0
line_opt,,45.0,Tulip,,,,,0.0
line_opt,,46.0,Poppy,,,,,1.0
line_opt,,46.0,Oxlip,,,,,0.0
line_opt,,46.0,Daisy,,,,,0.0
line_opt,,46.0,Tulip,,,,,0.0
line_opt,,47.0,Poppy,,,,,1.0
line_opt,,47.0,Oxlip,,,,,0.0
line_opt,,47.0,Daisy,,,,,0.0
line_opt,,47.0,Tulip,,,,,0.0
line_opt,,48.0,Poppy,,,,,0.0
line_opt,,48.0,Oxlip,,,,,0.0
line_opt,,48.0,Daisy,,,,,0.0
line_opt,,48.0,Tulip,,,,,0.0
line_opt,,49.0,Poppy,,,,,0.0
line_opt,,49.0,Oxlip,,,,,0.0
line_opt,,49.0,Daisy,,,,,0.0
line_opt,,49.0,Tulip,,,,,0.0
line_opt,,50.0,Poppy,,,,,0.0
line_opt,,50.0,Oxlip,,,,,0.0
line_opt,,50.0,Daisy,,,,,0.0
line_opt,,50.0,Tulip,,,,,0.0
line_opt,,51.0,Poppy,,,,,0.0
line_opt,,51.0,Oxlip,,,,,0.0
line_opt,,51.0,Daisy,,,,,0.0
line_opt,,51.0,Tulip,,,,,0.0
line_opt,,52.0,Poppy,,,,,1.0
line_opt,,52.0,Oxlip,,,,,0.0
line_opt,,52.0,Daisy,,,,,0.0
line_opt,,52.0,Tulip,,,,,0.0
line_opt,,53.0,Poppy,,,,,1.0
